tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,jenis_kelamin,usia,jumlah
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,<15,1
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,15-19,4
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,20-24,98
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,25-29,415
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,30-34,552
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,35-39,691
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,40-44,603
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,45-49,478
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,50-54,483
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,55-59,356
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,60-64,246
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,65-69,135
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,70-75,92
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,>75,52
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,15-19,1
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,20-24,65
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,25-29,310
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,30-34,423
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,35-39,479
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,40-44,450
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,45-49,366
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,50-54,344
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,55-59,223
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,60-64,155
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,65-69,100
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,70-75,86
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,>75,53
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,<15,4
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,15-19,59
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,20-24,464
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,25-29,1547
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,30-34,2650
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,35-39,3260
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,40-44,3317
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,45-49,3290
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,50-54,3163
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,55-59,2939
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,60-64,2237
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,65-69,1576
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,70-75,1149
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,>75,966
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,<15,7
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,15-19,75
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,20-24,444
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,25-29,1689
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,30-34,3105
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,35-39,4442
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,40-44,4561
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,45-49,4374
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,50-54,4153
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,55-59,3828
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,60-64,2825
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,65-69,2105
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,70-75,1491
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,>75,1217
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,<15,26
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,15-19,174
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,20-24,1124
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,25-29,4294
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,30-34,7156
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,35-39,9442
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,40-44,9701
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,45-49,9377
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,50-54,8815
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,55-59,6628
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,60-64,4540
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,65-69,3050
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,70-75,2034
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,>75,1756
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,<15,6
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,15-19,79
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,20-24,544
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,25-29,2061
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,30-34,3737
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,35-39,4672
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,40-44,4575
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,45-49,4222
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,50-54,3924
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,55-59,3483
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,60-64,2562
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,65-69,1738
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,70-75,1171
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,>75,892
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,<15,6
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,15-19,52
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,20-24,367
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,25-29,1505
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,30-34,2753
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,35-39,3424
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,40-44,3591
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,45-49,3745
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,50-54,3511
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,55-59,2753
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,60-64,1847
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,65-69,1310
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,70-75,813
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,>75,1017
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,<15,5
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,15-19,41
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,20-24,357
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,25-29,1332
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,30-34,2341
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,35-39,3008
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,40-44,3034
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,45-49,3032
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,50-54,2754
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,55-59,2666
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,60-64,1981
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,65-69,1365
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,70-75,868
2020,DKI JAKARTA,JAKARTA PUSAT,MENTENG,LAKI-LAKI,>75,692
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,<15,21
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,15-19,135
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,20-24,864
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,25-29,2952
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,30-34,5124
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,35-39,6672
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,40-44,6631
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,45-49,6087
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,50-54,5758
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,55-59,4713
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,60-64,3460
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,65-69,2119
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,70-75,1367
2020,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,LAKI-LAKI,>75,1184
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,<15,10
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,15-19,60
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,20-24,528
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,25-29,2183
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,30-34,3828
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,35-39,5246
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,40-44,5223
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,45-49,4978
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,50-54,4524
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,55-59,3683
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,60-64,2596
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,65-69,1697
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,70-75,1047
2020,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,LAKI-LAKI,>75,917
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,<15,3
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,15-19,130
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,20-24,1551
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,25-29,5243
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,30-34,9482
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,35-39,13082
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,40-44,13009
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,45-49,11051
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,50-54,9143
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,55-59,7351
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,60-64,5752
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,65-69,3950
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,70-75,2778
2020,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,LAKI-LAKI,>75,1714
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,<15,5
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,15-19,123
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,20-24,1949
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,25-29,7089
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,30-34,12681
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,35-39,16788
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,40-44,17044
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,45-49,14905
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,50-54,12410
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,55-59,9526
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,60-64,6757
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,65-69,4461
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,70-75,2894
2020,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,LAKI-LAKI,>75,1640
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,<15,4
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,15-19,102
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,20-24,1782
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,25-29,6920
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,30-34,11389
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,35-39,14432
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,40-44,13850
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,45-49,11714
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,50-54,9765
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,55-59,7266
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,60-64,4959
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,65-69,3089
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,70-75,1852
2020,DKI JAKARTA,JAKARTA UTARA,KOJA,LAKI-LAKI,>75,1061
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,<15,4
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,15-19,176
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,20-24,2867
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,25-29,9625
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,30-34,14755
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,35-39,18731
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,40-44,18176
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,45-49,15036
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,50-54,11901
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,55-59,8144
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,60-64,5565
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,65-69,3500
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,70-75,2151
2020,DKI JAKARTA,JAKARTA UTARA,CILINCING,LAKI-LAKI,>75,1201
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,<15,1
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,15-19,58
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,20-24,724
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,25-29,2887
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,30-34,5064
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,35-39,6994
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,40-44,6993
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,45-49,6076
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,50-54,5102
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,55-59,3988
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,60-64,2826
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,65-69,1774
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,70-75,1295
2020,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,LAKI-LAKI,>75,780
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,<15,2
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,15-19,17
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,20-24,302
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,25-29,1557
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,30-34,3587
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,35-39,5319
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,40-44,5445
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,45-49,4723
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,50-54,4244
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,55-59,3612
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,60-64,2993
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,65-69,2365
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,70-75,1851
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,>75,1105
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,<15,5
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,15-19,153
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,20-24,2562
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,25-29,10500
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,30-34,18600
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,35-39,24996
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,40-44,23961
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,45-49,20574
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,50-54,16495
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,55-59,12512
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,60-64,8638
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,65-69,5055
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,70-75,2834
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,>75,1445
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,<15,1
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,15-19,40
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,20-24,658
